run,random_search,greedy,simulated_annealing,genetic_algorithm
0,29280,35236,27265,27572
1,29364,35271,27460,27764
2,29300,35076,27355,27958
3,29343,35018,27349,27666
4,29228,35236,27216,27847
5,29309,35157,27454,27620
6,29283,35147,27133,27700
7,29407,35210,27362,27634
8,29255,34879,27414,27725
9,29190,35369,27418,27774
10,29296,34824,27392,27581
11,29296,35228,27312,27588
12,28957,35463,27133,27602
13,29323,35059,27272,27735
14,29173,35322,27246,27588
15,29326,35352,27402,27793
16,29108,35352,27294,27729
17,29317,35302,27328,27767
18,29080,34945,27377,27509
19,29328,35802,27303,27752
