generation,best_makespan,avg_makespan,worst_makespan
0,1879,2018.31,2201
1,1800,1936.79,2017
2,1776,1890.64,1964
3,1745,1873.22,1966
4,1730,1842.04,1931
5,1713,1816.27,1905
6,1701,1795.77,1880
7,1692,1784.63,1859
8,1681,1766.04,1831
9,1681,1766.85,1853
10,1681,1752.56,1835
11,1675,1744.89,1825
12,1675,1746.46,1835
13,1675,1738.92,1825
14,1665,1735.54,1815
15,1665,1732.37,1818
16,1665,1723.09,1808
17,1665,1719.51,1799
18,1664,1730.14,1817
19,1659,1726.7,1815
20,1659,1724.68,1808
21,1654,1726.63,1816
22,1654,1730.42,1811
23,1644,1720.07,1803
24,1644,1721.08,1811
25,1644,1719.81,1810
26,1644,1721.18,1809
27,1634,1712.63,1804
28,1634,1716.09,1809
29,1634,1714.92,1806
30,1634,1712.78,1799
31,1631,1704.33,1786
32,1631,1707.15,1795
33,1631,1698.21,1791
34,1631,1695.44,1782
35,1631,1701.72,1788
36,1631,1692.75,1782
37,1631,1691.31,1778
38,1625,1686.44,1767
39,1625,1688.08,1772
40,1624,1690.04,1773
41,1624,1685.78,1780
42,1624,1683.11,1772
43,1614,1678.85,1763
44,1614,1680.89,1771
45,1614,1687.42,1772
46,1611,1684.66,1784
47,1611,1677.3,1767
48,1611,1676.26,1765
49,1611,1670.48,1757
50,1611,1679.27,1773
51,1611,1676.45,1763
52,1611,1669.02,1762
53,1611,1675.01,1763
54,1611,1672.23,1763
55,1611,1671.21,1769
56,1611,1671.63,1759
57,1611,1670.13,1754
58,1611,1666.82,1752
59,1611,1670.07,1757
60,1598,1672.99,1756
61,1598,1668.31,1746
62,1598,1669.53,1756
63,1598,1667.51,1756
64,1598,1667.5,1762
65,1598,1661.19,1752
66,1598,1669.62,1764
67,1598,1671.02,1773
68,1598,1666.84,1755
69,1598,1666.97,1762
70,1598,1661.67,1754
71,1598,1662.79,1744
72,1598,1662.27,1759
73,1598,1663.69,1753
74,1598,1669.66,1752
75,1598,1669.33,1754
76,1598,1663.2,1757
77,1598,1663.78,1746
78,1598,1668.65,1748
79,1598,1667.12,1775
80,1598,1667.74,1759
81,1598,1664.61,1752
82,1598,1665.77,1763
83,1598,1655.69,1752
84,1598,1656.41,1743
85,1598,1661.43,1747
86,1598,1657.96,1744
87,1598,1660.69,1750
88,1598,1660.54,1742
89,1598,1652.66,1740
90,1598,1659.58,1752
91,1598,1659.44,1750
92,1598,1659.91,1744
93,1598,1655.44,1735
94,1598,1657.58,1745
95,1598,1655.73,1741
96,1598,1658.15,1741
97,1598,1657.99,1744
98,1598,1665.53,1752
99,1598,1662.16,1750
