Population,Generations,Tournament,Mutation,Run,Makespan
100,100,5,0.05,0,6933
100,100,5,0.05,1,6844
100,100,5,0.05,2,6918
100,100,5,0.05,3,6943
100,100,5,0.05,4,6873
100,100,5,0.05,5,6909
100,100,5,0.05,6,6793
100,100,5,0.05,7,6878
100,100,5,0.05,8,6854
100,100,5,0.05,9,6954
100,100,5,0.5,0,6761
100,100,5,0.5,1,6731
100,100,5,0.5,2,6703
100,100,5,0.5,3,6737
100,100,5,0.5,4,6747
100,100,5,0.5,5,6724
100,100,5,0.5,6,6784
100,100,5,0.5,7,6746
100,100,5,0.5,8,6734
100,100,5,0.5,9,6660
100,100,5,1,0,6687
100,100,5,1,1,6685
100,100,5,1,2,6741
100,100,5,1,3,6779
100,100,5,1,4,6686
100,100,5,1,5,6740
100,100,5,1,6,6702
100,100,5,1,7,6666
100,100,5,1,8,6779
100,100,5,1,9,6768
100,150,5,0.05,0,6819
100,150,5,0.05,1,6855
100,150,5,0.05,2,6878
100,150,5,0.05,3,6791
100,150,5,0.05,4,6965
100,150,5,0.05,5,6891
100,150,5,0.05,6,6822
100,150,5,0.05,7,6969
100,150,5,0.05,8,6821
100,150,5,0.05,9,6836
100,150,5,0.5,0,6634
100,150,5,0.5,1,6629
100,150,5,0.5,2,6728
100,150,5,0.5,3,6632
100,150,5,0.5,4,6657
100,150,5,0.5,5,6716
100,150,5,0.5,6,6719
100,150,5,0.5,7,6728
100,150,5,0.5,8,6693
100,150,5,0.5,9,6717
100,150,5,1,0,6632
100,150,5,1,1,6649
100,150,5,1,2,6645
100,150,5,1,3,6666
100,150,5,1,4,6592
100,150,5,1,5,6632
100,150,5,1,6,6709
100,150,5,1,7,6628
100,150,5,1,8,6732
100,150,5,1,9,6630
150,100,5,0.05,0,6811
150,100,5,0.05,1,6846
150,100,5,0.05,2,6796
150,100,5,0.05,3,6845
150,100,5,0.05,4,6812
150,100,5,0.05,5,6884
150,100,5,0.05,6,6937
150,100,5,0.05,7,6960
150,100,5,0.05,8,6807
150,100,5,0.05,9,6888
150,100,5,0.5,0,6684
150,100,5,0.5,1,6739
150,100,5,0.5,2,6617
150,100,5,0.5,3,6739
150,100,5,0.5,4,6664
150,100,5,0.5,5,6732
150,100,5,0.5,6,6680
150,100,5,0.5,7,6673
150,100,5,0.5,8,6838
150,100,5,0.5,9,6667
150,100,5,1,0,6689
150,100,5,1,1,6639
150,100,5,1,2,6688
150,100,5,1,3,6632
150,100,5,1,4,6649
150,100,5,1,5,6697
150,100,5,1,6,6649
150,100,5,1,7,6684
150,100,5,1,8,6697
150,100,5,1,9,6739
150,150,5,0.05,0,6868
150,150,5,0.05,1,6772
150,150,5,0.05,2,6851
150,150,5,0.05,3,6918
150,150,5,0.05,4,6860
150,150,5,0.05,5,6798
150,150,5,0.05,6,6832
150,150,5,0.05,7,6809
150,150,5,0.05,8,6853
150,150,5,0.05,9,6870
150,150,5,0.5,0,6685
150,150,5,0.5,1,6566
150,150,5,0.5,2,6660
150,150,5,0.5,3,6634
150,150,5,0.5,4,6741
150,150,5,0.5,5,6601
150,150,5,0.5,6,6742
150,150,5,0.5,7,6676
150,150,5,0.5,8,6660
150,150,5,0.5,9,6647
150,150,5,1,0,6669
150,150,5,1,1,6615
150,150,5,1,2,6565
150,150,5,1,3,6604
150,150,5,1,4,6630
150,150,5,1,5,6579
150,150,5,1,6,6560
150,150,5,1,7,6681
150,150,5,1,8,6626
150,150,5,1,9,6576
180,100,5,0.05,0,6840
180,100,5,0.05,1,6823
180,100,5,0.05,2,6793
180,100,5,0.05,3,6791
180,100,5,0.05,4,6833
180,100,5,0.05,5,6862
180,100,5,0.05,6,6878
180,100,5,0.05,7,6803
180,100,5,0.05,8,6844
180,100,5,0.05,9,6819
180,100,5,0.5,0,6694
180,100,5,0.5,1,6658
180,100,5,0.5,2,6592
180,100,5,0.5,3,6807
180,100,5,0.5,4,6637
180,100,5,0.5,5,6717
180,100,5,0.5,6,6653
180,100,5,0.5,7,6636
180,100,5,0.5,8,6642
180,100,5,0.5,9,6671
180,100,5,1,0,6671
180,100,5,1,1,6723
180,100,5,1,2,6695
180,100,5,1,3,6702
180,100,5,1,4,6682
180,100,5,1,5,6656
180,100,5,1,6,6617
180,100,5,1,7,6677
180,100,5,1,8,6702
180,100,5,1,9,6687
180,150,5,0.05,0,6786
180,150,5,0.05,1,6657
180,150,5,0.05,2,6881
180,150,5,0.05,3,6741
180,150,5,0.05,4,6773
180,150,5,0.05,5,6727
180,150,5,0.05,6,6755
180,150,5,0.05,7,6776
180,150,5,0.05,8,6744
180,150,5,0.05,9,6781
180,150,5,0.5,0,6648
180,150,5,0.5,1,6625
180,150,5,0.5,2,6596
180,150,5,0.5,3,6628
180,150,5,0.5,4,6625
180,150,5,0.5,5,6694
180,150,5,0.5,6,6694
180,150,5,0.5,7,6675
180,150,5,0.5,8,6635
180,150,5,0.5,9,6672
180,150,5,1,0,6587
180,150,5,1,1,6555
180,150,5,1,2,6697
180,150,5,1,3,6603
180,150,5,1,4,6611
180,150,5,1,5,6627
180,150,5,1,6,6643
180,150,5,1,7,6570
180,150,5,1,8,6619
180,150,5,1,9,6626
