px,run,makespan
0.5,0,28050
0.5,1,28149
0.5,2,28310
0.5,3,28031
0.5,4,27933
0.5,5,28215
0.5,6,27906
0.5,7,28045
0.5,8,27975
0.5,9,28022
0.5,10,28160
0.5,11,28031
0.5,12,28101
0.5,13,28000
0.5,14,27917
0.5,15,28054
0.5,16,28184
0.5,17,28180
0.5,18,27933
0.5,19,28005
0.5,20,27892
0.5,21,27895
0.5,22,28020
0.5,23,28010
0.5,24,28093
0.5,25,28184
0.5,26,28179
0.5,27,27910
0.5,28,28108
0.5,29,28049
0.6,0,28131
0.6,1,27986
0.6,2,28228
0.6,3,27968
0.6,4,27998
0.6,5,28057
0.6,6,27894
0.6,7,28013
0.6,8,27958
0.6,9,27999
0.6,10,28078
0.6,11,28171
0.6,12,28151
0.6,13,27944
0.6,14,27865
0.6,15,28052
0.6,16,28137
0.6,17,27863
0.6,18,28038
0.6,19,28013
0.6,20,27909
0.6,21,28097
0.6,22,28059
0.6,23,28127
0.6,24,27994
0.6,25,28023
0.6,26,27951
0.6,27,27996
0.6,28,27900
0.6,29,27770
0.7,0,27997
0.7,1,27772
0.7,2,28119
0.7,3,28142
0.7,4,28005
0.7,5,28176
0.7,6,27886
0.7,7,28022
0.7,8,27963
0.7,9,28098
0.7,10,27908
0.7,11,28071
0.7,12,27927
0.7,13,27793
0.7,14,27962
0.7,15,27877
0.7,16,27946
0.7,17,28043
0.7,18,27931
0.7,19,27993
0.7,20,27917
0.7,21,27935
0.7,22,27911
0.7,23,27953
0.7,24,28159
0.7,25,27917
0.7,26,27889
0.7,27,28103
0.7,28,27743
0.7,29,28142
0.8,0,27840
0.8,1,27969
0.8,2,28017
0.8,3,27989
0.8,4,27912
0.8,5,27913
0.8,6,27924
0.8,7,27961
0.8,8,27969
0.8,9,27911
0.8,10,27948
0.8,11,27840
0.8,12,27887
0.8,13,28040
0.8,14,27856
0.8,15,27880
0.8,16,27948
0.8,17,27893
0.8,18,27960
0.8,19,27975
0.8,20,27895
0.8,21,27914
0.8,22,28017
0.8,23,27976
0.8,24,27883
0.8,25,28081
0.8,26,28017
0.8,27,27770
0.8,28,27863
0.8,29,28018
0.85,0,27746
0.85,1,28029
0.85,2,27877
0.85,3,27979
0.85,4,28013
0.85,5,27923
0.85,6,27941
0.85,7,27886
0.85,8,28023
0.85,9,27879
0.85,10,27896
0.85,11,27909
0.85,12,27607
0.85,13,27831
0.85,14,27824
0.85,15,27829
0.85,16,27863
0.85,17,28025
0.85,18,27884
0.85,19,27876
0.85,20,27785
0.85,21,27677
0.85,22,27811
0.85,23,28098
0.85,24,27908
0.85,25,27891
0.85,26,27733
0.85,27,27932
0.85,28,27906
0.85,29,27917
0.9,0,27751
0.9,1,27947
0.9,2,28158
0.9,3,27617
0.9,4,27942
0.9,5,27866
0.9,6,27955
0.9,7,27969
0.9,8,27881
0.9,9,27925
0.9,10,28053
0.9,11,27710
0.9,12,27691
0.9,13,27971
0.9,14,27801
0.9,15,28138
0.9,16,27858
0.9,17,27794
0.9,18,27768
0.9,19,27796
0.9,20,27908
0.9,21,27771
0.9,22,27777
0.9,23,27941
0.9,24,27878
0.9,25,27825
0.9,26,27952
0.9,27,27755
0.9,28,27778
0.9,29,27801
0.95,0,28020
0.95,1,27779
0.95,2,27877
0.95,3,27853
0.95,4,27961
0.95,5,27838
0.95,6,27858
0.95,7,27846
0.95,8,27863
0.95,9,27850
0.95,10,27816
0.95,11,27794
0.95,12,27847
0.95,13,27803
0.95,14,27766
0.95,15,27809
0.95,16,27843
0.95,17,27856
0.95,18,27849
0.95,19,27735
0.95,20,28010
0.95,21,27832
0.95,22,27819
0.95,23,27746
0.95,24,27640
0.95,25,27854
0.95,26,28032
0.95,27,28035
0.95,28,27784
0.95,29,27843
1,0,27819
1,1,27742
1,2,27722
1,3,27773
1,4,27787
1,5,27634
1,6,27716
1,7,28031
1,8,27850
1,9,27892
1,10,27733
1,11,27743
1,12,27998
1,13,27619
1,14,27980
1,15,27946
1,16,27918
1,17,27790
1,18,27764
1,19,27619
1,20,27895
1,21,27803
1,22,27869
1,23,27621
1,24,27846
1,25,27855
1,26,27816
1,27,27972
1,28,27943
1,29,28067
