tournament_size,run,makespan
2,0,2326
2,1,2357
2,2,2349
2,3,2343
2,4,2352
2,5,2327
2,6,2344
2,7,2347
2,8,2343
2,9,2349
2,10,2337
2,11,2346
2,12,2333
2,13,2350
2,14,2337
2,15,2334
2,16,2331
2,17,2331
2,18,2340
2,19,2349
3,0,2322
3,1,2332
3,2,2332
3,3,2327
3,4,2348
3,5,2309
3,6,2314
3,7,2345
3,8,2331
3,9,2327
3,10,2333
3,11,2317
3,12,2329
3,13,2334
3,14,2335
3,15,2328
3,16,2334
3,17,2331
3,18,2324
3,19,2325
4,0,2352
4,1,2332
4,2,2336
4,3,2330
4,4,2315
4,5,2334
4,6,2327
4,7,2327
4,8,2337
4,9,2343
4,10,2324
4,11,2317
4,12,2330
4,13,2324
4,14,2337
4,15,2324
4,16,2331
4,17,2348
4,18,2327
4,19,2335
5,0,2323
5,1,2327
5,2,2342
5,3,2336
5,4,2329
5,5,2297
5,6,2345
5,7,2327
5,8,2329
5,9,2338
5,10,2320
5,11,2322
5,12,2331
5,13,2329
5,14,2327
5,15,2314
5,16,2323
5,17,2320
5,18,2320
5,19,2314
6,0,2315
6,1,2330
6,2,2318
6,3,2341
6,4,2309
6,5,2328
6,6,2350
6,7,2329
6,8,2331
6,9,2322
6,10,2305
6,11,2342
6,12,2331
6,13,2312
6,14,2315
6,15,2340
6,16,2317
6,17,2309
6,18,2317
6,19,2315
7,0,2343
7,1,2323
7,2,2315
7,3,2331
7,4,2330
7,5,2356
7,6,2331
7,7,2323
7,8,2328
7,9,2335
7,10,2347
7,11,2317
7,12,2330
7,13,2352
7,14,2320
7,15,2327
7,16,2334
7,17,2325
7,18,2332
7,19,2328
8,0,2346
8,1,2332
8,2,2322
8,3,2326
8,4,2327
8,5,2355
8,6,2322
8,7,2321
8,8,2323
8,9,2335
8,10,2317
8,11,2330
8,12,2331
8,13,2315
8,14,2322
8,15,2331
8,16,2348
8,17,2348
8,18,2334
8,19,2331
10,0,2347
10,1,2328
10,2,2326
10,3,2337
10,4,2322
10,5,2332
10,6,2319
10,7,2314
10,8,2314
10,9,2332
10,10,2311
10,11,2339
10,12,2346
10,13,2349
10,14,2336
10,15,2343
10,16,2316
10,17,2334
10,18,2349
10,19,2331
